Attribute,Value
Number Critical Scenarios,144
Number Critical Scenarios (duplicate free),144
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,5
Number Best Scenarios (duplicate free),5
Ratio Critical/All scenarios,0.14
Ratio Critical/All scenarios (duplicate free),0.14
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999928  0.82668908  0.        ]
Input value of critical (first of population of interest),[-6.10818808  5.25675488  4.69758119]
