Attribute,Value
Number Critical Scenarios,559
Number Critical Scenarios (duplicate free),108
Number All Scenarios,1000
Number All Scenarios (duplicate free),208
Number Best Critical Scenarios,317
Number Best Critical Scenarios (duplicate free),34
Number Best Scenarios,545
Number Best Scenarios (duplicate free),61
Ratio Critical/All scenarios,0.56
Ratio Critical/All scenarios (duplicate free),0.52
Ratio Best Critical/Best Scenarios,0.58
Ratio Best Critical/Best Scenarios (duplicate free),0.56
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999   0.808983  0.      ]
Input value of critical (first of population of interest),[-5.121603  0.523944  2.584445]
