Attribute,Value
Number Critical Scenarios,316
Number Critical Scenarios (duplicate free),316
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,8
Number Best Scenarios (duplicate free),8
Ratio Critical/All scenarios,0.32
Ratio Critical/All scenarios (duplicate free),0.32
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.761787  0.      ]
Input value of critical (first of population of interest),[-6.322582  4.681565  2.799463]
