Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.434074,0.820086,2.342341,-0.968126,-1.398595
1,0.356646,1.166067,4.347474,-0.992729,-1.201957
2,0.356646,1.166067,4.321783,-0.992975,-1.201957
3,0.388805,0.591451,0.269553,-0.980134,-2.295356
4,0.417381,0.660845,1.417389,-0.981686,-1.375015
5,0.356646,1.166067,4.347474,-0.992729,-1.201957
6,0.356646,1.166067,4.344905,-0.992729,-1.201957
7,0.434074,0.820086,2.342341,-0.968126,-1.398595
8,0.356646,1.166067,4.321783,-0.992975,-1.201957
9,0.388805,0.591451,0.269553,-0.980134,-2.295356
10,0.495993,0.824284,1.417223,-0.938076,-2.602057
11,0.333238,1.166067,4.347474,-0.992626,-1.653948
12,0.356646,1.166067,4.347474,-0.992729,-1.201957
13,0.356646,1.166067,4.344905,-0.992729,-1.201957
14,0.417381,0.660845,1.417389,-0.981686,-1.375015
15,0.434074,0.822625,2.342341,-0.975310,-1.398595
16,0.389435,0.641552,1.504309,-0.986498,-1.278618
17,0.356646,1.134075,4.321783,-0.991991,-1.201957
18,0.434074,0.820086,2.342341,-0.968126,-1.398595
19,0.302154,0.724109,3.331340,-0.991252,-1.061611
20,0.432920,0.658325,1.417223,-0.928856,-1.395686
21,0.417381,0.580314,0.914670,-0.888835,-1.375015
22,0.356646,1.166067,4.321783,-0.992975,-1.201957
23,0.388805,0.591451,0.269553,-0.980134,-2.295356
24,0.495993,0.824284,1.417223,-0.938076,-2.602057
25,0.333238,1.166067,4.347474,-0.992626,-1.653948
26,0.435790,0.748707,1.398762,-0.954026,-2.386300
27,0.356646,1.166361,4.347474,-0.992738,-1.201957
28,0.417381,0.660845,1.417389,-0.981686,-1.375015
29,0.434074,0.822625,2.342341,-0.975310,-1.398595
30,0.389435,0.641552,1.504309,-0.986498,-1.278618
31,0.432920,0.658325,0.412717,-0.939757,-2.356750
32,0.356646,1.166067,4.347474,-0.992729,-1.201957
33,0.356646,1.166067,4.344905,-0.992729,-1.201957
34,0.389803,0.580314,0.914670,-0.980647,-1.280328
35,0.434074,0.820086,2.342341,-0.968126,-1.398595
36,0.389435,0.641552,1.450505,-0.985025,-1.278618
37,0.356646,1.134075,4.321783,-0.991991,-1.201957
38,0.432920,0.658325,1.417223,-0.928856,-1.395686
39,0.356646,1.133781,4.321783,-0.991982,-1.201957
40,0.356646,1.166067,4.321783,-0.992975,-1.201957
41,0.495993,0.824284,1.417223,-0.938076,-2.602057
42,0.333238,1.166067,4.347474,-0.992626,-1.653948
43,0.435790,0.748707,1.398762,-0.954026,-2.386300
44,0.526702,0.824284,1.417223,-0.981324,-2.344764
45,0.356646,1.166361,4.347474,-0.992738,-1.201957
46,0.333238,1.168197,4.347474,-0.988443,-1.653948
47,0.432920,0.658325,0.412717,-0.939757,-2.356750
48,0.388805,0.591451,0.269553,-0.980134,-2.295356
49,0.356646,1.166075,4.347474,-0.992730,-1.201957
50,0.417381,0.660845,1.417389,-0.981686,-1.375015
51,0.389435,0.641552,1.504309,-0.986498,-1.278618
52,0.407977,0.820086,2.342341,-0.928849,-2.266043
53,0.418086,0.689150,1.419437,-0.979633,-2.150623
54,0.356646,1.166067,4.347474,-0.992729,-1.201957
55,0.356646,1.166067,4.344905,-0.992729,-1.201957
56,0.389803,0.580314,0.914670,-0.980647,-1.280328
57,0.389435,0.641552,1.450505,-0.985025,-1.278618
58,0.357814,1.134075,4.321783,-0.985778,-1.205577
59,0.434074,0.822625,2.342341,-0.975310,-1.398595
60,0.356646,1.134075,4.321783,-0.991991,-1.201957
61,0.434074,0.820086,2.342341,-0.968126,-1.398595
62,0.495993,0.824284,1.417223,-0.938076,-2.602057
63,0.333238,1.166067,4.347474,-0.992626,-1.653948
64,0.435790,0.748707,1.398762,-0.954026,-2.386300
65,0.526702,0.824284,1.417223,-0.981324,-2.344764
66,0.432920,0.658325,0.460814,-0.963625,-2.356750
67,0.367358,1.238113,4.345868,-0.994713,-1.235194
68,0.400270,0.637492,0.347986,-0.740088,-2.446673
69,0.432920,0.751056,1.416802,-0.917374,-2.387103
70,0.333238,1.168197,4.347474,-0.988443,-1.653948
71,0.388805,0.591451,0.296459,-0.980139,-2.295356
72,0.432920,0.658325,0.412717,-0.939757,-2.356750
73,0.356646,1.166067,4.321783,-0.992975,-1.201957
74,0.417381,0.660845,1.417389,-0.981686,-1.375015
75,0.389435,0.641552,1.504309,-0.986498,-1.278618
76,0.388805,0.591451,0.269553,-0.980134,-2.295356
77,0.356646,1.166361,4.347474,-0.992738,-1.201957
78,0.389803,0.580314,0.914670,-0.980647,-1.280328
79,0.389435,0.641552,1.450505,-0.985025,-1.278618
80,0.357814,1.134075,4.321783,-0.985778,-1.205577
81,0.407977,0.820086,2.342341,-0.928849,-2.266043
