Attribute,Value
Number Critical Scenarios,215
Number Critical Scenarios (duplicate free),215
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,8
Number Best Scenarios (duplicate free),8
Ratio Critical/All scenarios,0.21
Ratio Critical/All scenarios (duplicate free),0.21
Ratio Best Critical/Best Scenarios,0.62
Ratio Best Critical/Best Scenarios (duplicate free),0.62
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999997  0.81988   0.      ]
Input value of critical (first of population of interest),[-0.976889  5.767344  6.356786]
