Attribute,Value
Number Critical Scenarios,85
Number Critical Scenarios (duplicate free),85
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,6
Number Best Scenarios (duplicate free),6
Ratio Critical/All scenarios,0.09
Ratio Critical/All scenarios (duplicate free),0.09
Ratio Best Critical/Best Scenarios,0.83
Ratio Best Critical/Best Scenarios (duplicate free),0.83
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.823926  0.      ]
Input value of critical (first of population of interest),[-2.37298   7.766694  6.144165]
