Attribute,Value
Number Critical Scenarios,517
Number Critical Scenarios (duplicate free),139
Number All Scenarios,1000
Number All Scenarios (duplicate free),208
Number Best Critical Scenarios,270
Number Best Critical Scenarios (duplicate free),34
Number Best Scenarios,586
Number Best Scenarios (duplicate free),49
Ratio Critical/All scenarios,0.52
Ratio Critical/All scenarios (duplicate free),0.67
Ratio Best Critical/Best Scenarios,0.46
Ratio Best Critical/Best Scenarios (duplicate free),0.69
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999645  0.732318  0.      ]
Input value of critical (first of population of interest),[ 4.501538  7.741378 13.574308]
