Attribute,Value
Number Critical Scenarios,42
Number Critical Scenarios (duplicate free),42
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,7
Number Best Scenarios (duplicate free),7
Ratio Critical/All scenarios,0.04
Ratio Critical/All scenarios (duplicate free),0.04
Ratio Best Critical/Best Scenarios,0.57
Ratio Best Critical/Best Scenarios (duplicate free),0.57
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999961  0.857159  0.      ]
Input value of critical (first of population of interest),[-5.58809   6.771852  5.977168]
