Attribute,Value
Number Critical Scenarios,805
Number Critical Scenarios (duplicate free),183
Number All Scenarios,1000
Number All Scenarios (duplicate free),267
Number Best Critical Scenarios,315
Number Best Critical Scenarios (duplicate free),50
Number Best Scenarios,375
Number Best Scenarios (duplicate free),56
Ratio Critical/All scenarios,0.81
Ratio Critical/All scenarios (duplicate free),0.69
Ratio Best Critical/Best Scenarios,0.84
Ratio Best Critical/Best Scenarios (duplicate free),0.89
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999872  0.833186]
Input value of critical (first of population of interest),[ 1.829785 -5.405819  3.767831]
