Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.930217,1.345010,3.223056,-0.000000,-2.447724,0
1,0.932168,0.902183,3.886794,-0.000000,-2.445933,0
2,0.974323,1.985182,2.684872,-0.000000,-2.704010,0
3,0.182806,0.754343,3.191147,-0.030209,-0.730692,0
4,0.519505,1.347649,0.173051,-0.015029,-1.637867,0
5,0.891249,1.198856,0.685602,-0.336428,-0.075438,0
6,0.535077,0.764465,1.537464,-0.112316,-1.674100,0
7,0.458051,0.546697,3.619630,-0.000000,-1.462360,0
8,0.725356,1.979212,2.103011,-0.232183,-1.841448,0
9,0.212574,1.666348,1.589428,-0.000038,-0.955681,0
10,0.399392,1.992158,2.873409,-0.066859,-1.338346,0
11,0.917526,1.400525,2.986581,-0.000000,-2.484665,0
12,0.285701,1.858464,2.848912,-0.002612,-1.073654,0
13,0.748027,0.900716,3.491522,-0.000000,-2.052423,0
14,0.269763,0.750244,0.756329,-0.108803,-0.998055,0
15,0.146398,1.532708,2.754651,-0.000059,-0.752465,0
16,0.613187,1.809616,3.150011,-0.043270,-1.849242,0
17,0.517412,0.576392,3.924420,-0.000000,-1.599718,0
18,0.164958,0.908863,0.037024,-0.000060,-0.831645,0
19,0.260865,0.755379,0.270866,-0.024860,-0.985415,0
20,0.613106,0.944037,3.493366,-0.000000,-1.847787,0
21,0.179515,1.421652,2.466050,-0.000170,-0.846274,0
22,0.941976,0.555199,3.659914,-0.000000,-2.476081,0
23,0.554507,1.543550,2.331488,-0.210033,-0.546368,0
24,0.148371,0.748145,0.459516,-0.000574,-0.700287,0
25,0.215404,1.787651,0.231466,-0.000002,-1.023863,0
26,0.149834,1.119179,2.586211,-0.000318,-0.733509,0
27,0.215783,1.608463,4.009103,-0.004561,-0.891067,0
28,0.802827,0.893223,4.896055,-0.000000,-2.100974,0
29,0.640118,1.465094,4.519314,-0.000000,-1.870979,0
30,0.827319,0.933801,1.480733,-0.000000,-2.263413,0
31,0.292764,0.577671,4.569706,-0.000037,-1.008254,0
32,0.690450,1.075268,4.912080,-0.000000,-1.886320,0
33,0.164137,0.696494,4.502684,-0.011587,-0.712724,0
34,0.902766,0.654528,4.731344,-0.000000,-2.578933,0
35,0.334205,0.615549,1.941668,-0.516084,-0.036366,0
36,0.846626,0.702447,3.421997,-0.000000,-2.259191,0
37,0.135002,1.797815,3.614972,-0.000074,-0.731251,0
38,0.244138,0.529177,0.173688,-0.421310,-0.025012,0
39,0.254500,0.788395,1.451140,-0.105563,-0.953974,0
40,0.179026,1.764278,1.794167,-0.000017,-0.893588,0
41,0.123551,0.737357,2.930207,-0.001657,-0.619188,0
42,0.946216,0.751216,1.969619,-0.000000,-2.618702,0
43,0.301832,1.066853,2.507822,-0.181446,-1.064220,0
44,0.449701,0.605052,0.976272,-0.646229,-1.445044,0
45,0.603679,0.875674,1.364392,-0.516204,-1.820851,0
46,0.840850,1.877006,4.467172,-0.000000,-2.227601,0
47,0.586081,1.788233,1.289411,-0.139823,-1.784600,0
48,0.266437,1.700661,2.944982,-0.002689,-1.025745,0
49,0.708981,0.501156,3.679424,-0.000000,-1.929633,0
50,0.279857,1.295880,1.783630,-0.002636,-1.072282,0
51,0.697459,1.658426,3.230658,-0.000000,-2.010915,0
