Attribute,Value
Number Critical Scenarios,60
Number Critical Scenarios (duplicate free),60
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,6
Number Best Scenarios (duplicate free),6
Ratio Critical/All scenarios,0.06
Ratio Critical/All scenarios (duplicate free),0.06
Ratio Best Critical/Best Scenarios,0.83
Ratio Best Critical/Best Scenarios (duplicate free),0.83
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999998  0.647913  0.      ]
Input value of critical (first of population of interest),[-2.849648  5.598656 10.097576]
