Attribute,Value
Number Critical Scenarios,660
Number Critical Scenarios (duplicate free),248
Number All Scenarios,1000
Number All Scenarios (duplicate free),385
Number Best Critical Scenarios,46
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,89
Number Best Scenarios (duplicate free),35
Ratio Critical/All scenarios,0.66
Ratio Critical/All scenarios (duplicate free),0.64
Ratio Best Critical/Best Scenarios,0.52
Ratio Best Critical/Best Scenarios (duplicate free),0.57
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.981886  0.7357  ]
Input value of critical (first of population of interest),[ 0.697019 -6.444418  2.164068]
