Attribute,Value
Number Critical Scenarios,320
Number Critical Scenarios (duplicate free),86
Number All Scenarios,1000
Number All Scenarios (duplicate free),189
Number Best Critical Scenarios,233
Number Best Critical Scenarios (duplicate free),36
Number Best Scenarios,654
Number Best Scenarios (duplicate free),55
Ratio Critical/All scenarios,0.32
Ratio Critical/All scenarios (duplicate free),0.46
Ratio Best Critical/Best Scenarios,0.36
Ratio Best Critical/Best Scenarios (duplicate free),0.65
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-1.        0.849716 -2.525967]
Input value of critical (first of population of interest),[ 1.937486 -7.623714  3.830416]
