Attribute,Value
Number Critical Scenarios,120
Number Critical Scenarios (duplicate free),120
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,8
Number Best Scenarios (duplicate free),8
Ratio Critical/All scenarios,0.12
Ratio Critical/All scenarios (duplicate free),0.12
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.820183  0.      ]
Input value of critical (first of population of interest),[ 6.557289 -0.454404  6.859358]
