Attribute,Value
Number Critical Scenarios,885
Number Critical Scenarios (duplicate free),260
Number All Scenarios,1000
Number All Scenarios (duplicate free),319
Number Best Critical Scenarios,239
Number Best Critical Scenarios (duplicate free),43
Number Best Scenarios,239
Number Best Scenarios (duplicate free),43
Ratio Critical/All scenarios,0.89
Ratio Critical/All scenarios (duplicate free),0.82
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.792734]
Input value of critical (first of population of interest),[-0.20892   6.318592  3.936723]
