Attribute,Value
Number Critical Scenarios,1169
Number Critical Scenarios (duplicate free),217
Number All Scenarios,2000
Number All Scenarios (duplicate free),429
Number Best Critical Scenarios,263
Number Best Critical Scenarios (duplicate free),29
Number Best Scenarios,323
Number Best Scenarios (duplicate free),37
Ratio Critical/All scenarios,0.58
Ratio Critical/All scenarios (duplicate free),0.51
Ratio Best Critical/Best Scenarios,0.81
Ratio Best Critical/Best Scenarios (duplicate free),0.78
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.979911 -2.853069]
Input value of critical (first of population of interest),[0.683893 0.85811  0.488754]
