Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.588550,1.074296,0.926504,-0.767473,-3.424689,1
1,0.616681,1.385524,1.845671,-0.779458,-3.363240,1
2,0.792036,1.435182,1.410127,-0.999682,-2.147607,1
3,0.795417,1.435182,1.410127,-0.995257,-2.160805,1
4,0.917923,1.387735,0.223530,-0.601487,-4.647825,0
5,0.924126,1.393345,0.211640,-0.598140,-4.688962,0
6,0.621620,1.130360,0.890007,-0.697459,-3.495510,0
7,0.792036,1.484421,1.075967,-0.671237,-3.995183,0
8,0.790620,1.484421,1.071995,-0.656157,-4.036352,0
9,0.619990,1.130037,0.901153,-0.704276,-3.490352,1
10,0.623716,0.884482,0.917140,-0.969214,-2.804641,1
11,0.621972,0.878855,0.901153,-0.978457,-2.793885,1
12,0.924703,1.396111,0.211640,-0.575503,-4.690840,0
13,0.611216,0.871286,0.917140,-0.985736,-2.698005,1
14,0.959410,1.409182,0.051255,-0.341600,-4.841906,0
15,0.792036,1.484421,1.078764,-0.671237,-3.995183,0
16,0.588550,1.076105,0.926504,-0.746631,-3.424689,1
17,0.616572,1.385524,1.848573,-0.777570,-3.362380,1
18,0.618442,1.385524,1.835486,-0.779157,-3.359200,1
19,0.457691,1.379637,3.476250,-0.999560,-1.472371,1
20,0.792036,1.463026,1.435744,-0.996419,-2.147607,1
21,0.611664,0.985883,1.437510,-0.998632,-1.847711,1
22,0.465013,1.379692,3.495792,-0.998723,-1.481277,1
23,0.795093,1.446728,1.406292,-0.990361,-2.160044,1
24,0.917923,1.387917,0.223530,-0.599655,-4.647825,0
25,0.917923,1.387917,0.223530,-0.599655,-4.647825,0
26,0.917923,1.387917,0.224203,-0.599655,-4.647825,0
27,0.924126,1.393471,0.211640,-0.596877,-4.688962,0
28,0.619990,1.130037,0.893003,-0.674787,-3.490352,0
29,0.619990,1.130037,0.893127,-0.674787,-3.490352,0
30,0.623706,0.886878,0.856434,-0.899976,-2.797152,1
31,0.621830,0.884277,0.916808,-0.969748,-2.793859,1
32,0.621939,0.884482,0.914238,-0.961276,-2.793885,1
33,0.621825,0.884277,0.916808,-0.969748,-2.793859,1
34,0.621825,0.884482,0.972620,-0.983388,-2.659787,1
35,0.784002,0.897407,0.230487,-0.976429,-2.675728,1
36,0.621830,0.884482,0.972620,-0.983388,-2.659787,1
37,0.948884,1.395986,0.051255,-0.337992,-4.797787,0
38,0.621626,1.130037,0.873224,-0.666451,-3.527758,0
39,0.924126,1.396111,0.211640,-0.570330,-4.688962,0
