Attribute,Value
Number Critical Scenarios,225
Number Critical Scenarios (duplicate free),46
Number All Scenarios,1000
Number All Scenarios (duplicate free),204
Number Best Critical Scenarios,171
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,639
Number Best Scenarios (duplicate free),55
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.23
Ratio Best Critical/Best Scenarios,0.27
Ratio Best Critical/Best Scenarios (duplicate free),0.33
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-1.        0.863636 -6.801527]
Input value of critical (first of population of interest),[ 5.477091 -7.184769  4.330422]
