Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.395744,1.948138,4.931638,-0.949568,-1.302132
1,0.359203,1.202586,3.851345,-0.787559,-1.912384
2,0.613009,1.248497,2.120768,-0.994560,-1.852920
3,0.303692,0.543023,1.859626,-0.994656,-1.069821
4,0.453978,1.537336,3.628041,-0.991089,-1.464817
5,0.359242,1.103256,4.029344,-0.995803,-1.210131
6,0.525057,1.555702,3.202750,-0.977388,-1.636360
7,0.356246,1.225082,4.092256,-0.985992,-1.886159
8,0.630920,0.839285,0.449903,-0.851913,-2.806989
9,0.878315,0.923224,0.012620,-0.959741,-2.602978
10,0.423808,1.814470,4.463940,-0.979649,-1.378120
11,0.779917,1.969912,2.089415,-0.868633,-2.112252
12,0.371106,0.500641,0.428463,-0.941099,-1.246794
13,0.466328,1.636555,3.723965,-0.996089,-1.485566
14,0.434880,1.572524,4.137731,-0.985350,-1.400914
15,0.355602,0.806269,2.758479,-0.992271,-1.198776
16,0.442940,0.977412,1.663148,-0.797613,-2.774484
17,0.586323,1.316992,2.461003,-0.966443,-1.773525
18,0.306951,0.522990,2.014146,-0.804694,-1.077103
19,0.547095,1.812694,3.347612,-0.896459,-1.686760
20,0.678358,1.940305,2.572179,-0.748085,-1.978341
21,0.341614,1.081871,3.679549,-0.763500,-1.816607
22,0.453513,1.283540,3.561844,-0.938209,-1.461953
23,0.339012,1.092093,4.674944,-0.981329,-1.154152
24,0.708331,1.832101,2.346128,-0.796129,-2.034053
25,0.596656,0.860263,0.951133,-0.952610,-2.724889
26,0.390463,1.667086,4.758603,-0.972899,-1.283419
27,0.478904,1.666628,3.709585,-0.986728,-1.527903
28,0.482397,1.868017,3.661446,-0.882491,-1.534689
29,0.446238,1.060001,2.086707,-0.824140,-2.764404
30,0.588100,1.659185,2.965227,-0.814859,-1.774231
31,0.642603,1.929300,2.557179,-0.990864,-1.916838
32,0.430817,1.072693,2.389310,-0.913940,-2.627812
33,0.371699,0.513825,0.462158,-0.981912,-1.248365
34,0.828462,1.832346,1.686262,-0.874474,-2.289932
35,0.631415,1.278635,2.154586,-0.796793,-1.880640
36,0.312377,0.786037,3.559580,-0.996153,-1.084237
37,0.398302,1.753376,4.605153,-0.985785,-1.313058
38,0.793145,0.929599,0.219415,-0.884134,-2.953310
39,0.618402,1.546343,2.642254,-0.724863,-1.864515
40,0.766887,1.900105,2.101334,-0.878593,-2.092926
41,0.416854,0.865828,1.256938,-0.760491,-2.576639
42,0.524297,1.467998,3.087773,-0.994964,-1.633518
43,0.359536,0.656307,1.953269,-0.988638,-1.210771
44,0.416679,0.821720,2.327635,-0.975051,-2.272125
45,0.450625,1.326346,3.607812,-0.995792,-1.448811
46,0.427548,1.686678,4.379077,-0.995104,-1.382024
47,0.493909,0.694764,0.849034,-0.996276,-1.567622
48,0.357355,0.748529,2.780694,-0.989512,-1.203900
49,0.407870,1.196394,3.649456,-0.982287,-1.349413
50,0.560440,1.706413,3.074037,-0.975868,-1.725784
51,0.384845,0.813478,2.968031,-0.791528,-1.268240
52,0.497554,1.329333,3.052498,-0.981166,-1.569517
53,0.319350,0.753217,1.972680,-0.928361,-1.561422
54,0.308430,0.886199,4.321647,-0.984668,-1.078875
55,0.610720,0.800726,0.815641,-0.838287,-1.844089
56,0.405048,0.722722,1.721035,-0.987471,-2.220018
57,0.341205,0.610504,2.031570,-0.985491,-1.157273
58,0.330078,1.106584,4.870778,-0.978550,-1.129339
59,0.412663,1.202353,3.078214,-0.777553,-2.466925
60,0.316974,0.760604,1.956549,-0.714994,-1.508771
61,0.692457,1.915962,2.448976,-0.932581,-1.998067
62,0.626912,1.677740,2.427394,-0.984655,-1.871597
63,0.592421,1.663800,2.831516,-0.973097,-1.784202
64,0.365814,0.567048,0.105300,-0.794620,-1.955683
65,0.615243,1.044784,1.540738,-0.989118,-1.862367
66,0.574303,1.886588,3.071617,-0.983550,-1.762467
67,0.417222,1.708991,4.372314,-0.983324,-1.374980
68,0.396865,0.873557,2.862757,-0.988480,-1.307672
69,0.601172,1.533400,2.721934,-0.865525,-1.813090
