Attribute,Value
Number Critical Scenarios,149
Number Critical Scenarios (duplicate free),149
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,7
Number Best Scenarios (duplicate free),7
Ratio Critical/All scenarios,0.15
Ratio Critical/All scenarios (duplicate free),0.15
Ratio Best Critical/Best Scenarios,0.57
Ratio Best Critical/Best Scenarios (duplicate free),0.57
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.9999783   0.81283138  0.        ]
Input value of critical (first of population of interest),[ 7.84802883 -7.56531839  2.21820626]
