Attribute,Value
Number Critical Scenarios,39
Number Critical Scenarios (duplicate free),39
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,3
Number Best Critical Scenarios (duplicate free),3
Number Best Scenarios,12
Number Best Scenarios (duplicate free),12
Ratio Critical/All scenarios,0.04
Ratio Critical/All scenarios (duplicate free),0.04
Ratio Best Critical/Best Scenarios,0.25
Ratio Best Critical/Best Scenarios (duplicate free),0.25
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999967  0.765782  0.      ]
Input value of critical (first of population of interest),[3.417516 7.804942 6.40344 ]
