Attribute,Value
Number Critical Scenarios,385
Number Critical Scenarios (duplicate free),385
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,5
Number Best Scenarios (duplicate free),5
Ratio Critical/All scenarios,0.39
Ratio Critical/All scenarios (duplicate free),0.39
Ratio Best Critical/Best Scenarios,0.80
Ratio Best Critical/Best Scenarios (duplicate free),0.80
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.          0.80204249  0.        ]
Input value of critical (first of population of interest),[ 6.79678926 -5.36177507  2.33022344]
