Attribute,Value
Number Critical Scenarios,540
Number Critical Scenarios (duplicate free),99
Number All Scenarios,1000
Number All Scenarios (duplicate free),185
Number Best Critical Scenarios,315
Number Best Critical Scenarios (duplicate free),29
Number Best Scenarios,590
Number Best Scenarios (duplicate free),40
Ratio Critical/All scenarios,0.54
Ratio Critical/All scenarios (duplicate free),0.54
Ratio Best Critical/Best Scenarios,0.53
Ratio Best Critical/Best Scenarios (duplicate free),0.72
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.998464  0.841569  0.      ]
Input value of critical (first of population of interest),[-2.049818 -4.754832  2.146954]
