Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,6.448188,0.054627,22.953707,0.999989,0.726508,0.000000,0
1,-5.471477,-2.568235,14.123170,1.000000,0.747941,0.000000,0
2,-6.065490,-6.129027,10.784485,1.000000,0.818323,0.000000,0
3,-0.723034,3.174784,17.821880,1.000000,0.803522,0.000000,0
4,-4.757231,-3.374593,4.371373,1.000000,0.795548,0.000000,0
5,-6.687434,3.815004,7.880196,0.999994,0.781733,0.000000,0
6,2.710415,4.635418,12.937963,1.000000,0.710267,0.000000,0
7,4.859886,6.640054,2.354465,0.999991,0.708264,0.000000,0
8,2.817356,-3.500397,9.342132,1.000000,0.786309,0.000000,0
9,5.290641,-0.848533,22.923384,0.999997,0.723341,0.000000,0
10,-1.082363,-7.050155,7.639248,0.999671,0.732168,0.000000,0
11,-1.650994,-1.774576,8.008266,1.000000,0.769229,0.000000,0
12,5.307680,-4.182131,3.576029,0.999818,0.778519,0.000000,0
13,7.194670,-7.622913,4.771246,0.495551,0.791546,0.000000,0
14,-5.836181,1.387237,17.879737,1.000000,0.742959,0.000000,0
15,-4.830066,7.296499,4.369112,0.976266,0.770200,0.000000,0
16,-0.033906,2.317192,20.067675,1.000000,0.729357,0.000000,0
17,-4.103148,-1.753773,23.711361,1.000000,0.723909,0.000000,0
18,3.371040,1.869266,19.910932,1.000000,0.746295,0.000000,0
19,-4.144640,6.843853,1.871103,1.000000,0.725691,0.000000,0
20,-3.924564,4.847101,21.301208,1.000000,0.803022,0.000000,0
21,-7.207542,1.208788,17.457237,1.000000,0.742694,0.000000,0
22,-7.225403,2.490679,8.841255,1.000000,0.705128,0.000000,0
23,-3.325343,-2.105849,11.549671,1.000000,0.775709,0.000000,0
24,-7.370781,-0.607391,5.711642,1.000000,0.789737,0.000000,0
25,0.925369,0.714532,22.377639,1.000000,0.760479,0.000000,0
26,0.539197,-7.476568,15.801609,1.000000,0.746782,0.000000,0
27,0.937703,6.107725,13.649618,1.000000,0.723799,0.000000,0
28,-5.574950,1.755090,23.137562,0.999994,0.805296,0.000000,0
29,-5.403080,0.293649,3.844656,0.999999,0.775589,0.000000,0
30,2.934522,6.442612,18.355617,0.999544,0.824886,0.000000,0
31,4.482366,1.605215,20.928341,1.000000,0.727179,0.000000,0
32,-2.728937,-3.585840,20.111592,1.000000,0.749412,0.000000,0
33,-5.471556,-3.757761,14.486518,1.000000,0.738331,0.000000,0
34,-5.249034,5.666657,15.959230,0.999634,0.794646,0.000000,0
35,2.943935,5.150010,18.708640,1.000000,0.803498,0.000000,0
36,-0.414538,-5.609770,0.085766,1.000000,0.736865,0.000000,0
37,7.082623,0.654947,18.025879,1.000000,0.781965,0.000000,0
38,7.992080,-2.643821,22.967539,0.994791,0.743865,0.000000,0
39,7.429827,-0.807801,4.946935,0.999703,0.755516,0.000000,0
40,1.707021,-2.331137,6.732287,1.000000,0.785042,0.000000,0
41,0.635642,-4.046257,9.011729,1.000000,0.775202,0.000000,0
42,-1.562535,2.023385,7.379314,1.000000,0.714369,0.000000,0
43,-4.685817,-6.546146,2.863031,1.000000,0.766138,0.000000,0
44,7.134066,3.614124,17.845726,1.000000,0.812300,0.000000,0
45,3.068192,-0.344783,7.005828,1.000000,0.784615,0.000000,0
46,-4.306781,-6.238409,19.326187,0.999986,0.703069,0.000000,0
47,4.199697,-1.351289,20.743171,1.000000,0.717873,0.000000,0
48,7.891294,-7.644437,19.846923,0.999999,0.793277,0.000000,0
49,-6.254731,0.919767,18.923889,1.000000,0.748751,0.000000,0
50,6.874862,-6.548668,5.932208,0.998354,0.726235,0.000000,0
51,-7.045655,-0.440509,18.814462,0.999999,0.741100,0.000000,0
52,3.157237,-0.699032,19.601080,1.000000,0.767702,0.000000,0
