Attribute,Value
Number Critical Scenarios,189
Number Critical Scenarios (duplicate free),62
Number All Scenarios,1000
Number All Scenarios (duplicate free),250
Number Best Critical Scenarios,103
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,548
Number Best Scenarios (duplicate free),62
Ratio Critical/All scenarios,0.19
Ratio Critical/All scenarios (duplicate free),0.25
Ratio Best Critical/Best Scenarios,0.19
Ratio Best Critical/Best Scenarios (duplicate free),0.29
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.957433  0.856088 -2.753166]
Input value of critical (first of population of interest),[-4.004113  5.628404  5.564459]
