Attribute,Value
Number Critical Scenarios,41
Number Critical Scenarios (duplicate free),41
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,6
Number Best Critical Scenarios (duplicate free),6
Number Best Scenarios,6
Number Best Scenarios (duplicate free),6
Ratio Critical/All scenarios,0.04
Ratio Critical/All scenarios (duplicate free),0.04
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999944  0.776652  0.      ]
Input value of critical (first of population of interest),[ 5.750039 -5.607789 14.620236]
