Attribute,Value
Number Critical Scenarios,388
Number Critical Scenarios (duplicate free),388
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.39
Ratio Critical/All scenarios (duplicate free),0.39
Ratio Best Critical/Best Scenarios,0.92
Ratio Best Critical/Best Scenarios (duplicate free),0.92
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999952  0.78172498  0.        ]
Input value of critical (first of population of interest),[-7.51423788  0.46538439  1.30064621]
