Attribute,Value
Number Critical Scenarios,618
Number Critical Scenarios (duplicate free),122
Number All Scenarios,2000
Number All Scenarios (duplicate free),408
Number Best Critical Scenarios,107
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,294
Number Best Scenarios (duplicate free),39
Ratio Critical/All scenarios,0.31
Ratio Critical/All scenarios (duplicate free),0.30
Ratio Best Critical/Best Scenarios,0.36
Ratio Best Critical/Best Scenarios (duplicate free),0.46
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.925627 -2.199883]
Input value of critical (first of population of interest),[0.804772 1.306941 1.18871 ]
