Attribute,Value
Number Critical Scenarios,495
Number Critical Scenarios (duplicate free),136
Number All Scenarios,1000
Number All Scenarios (duplicate free),304
Number Best Critical Scenarios,87
Number Best Critical Scenarios (duplicate free),19
Number Best Scenarios,290
Number Best Scenarios (duplicate free),52
Ratio Critical/All scenarios,0.49
Ratio Critical/All scenarios (duplicate free),0.45
Ratio Best Critical/Best Scenarios,0.30
Ratio Best Critical/Best Scenarios (duplicate free),0.37
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999555  0.77036 ]
Input value of critical (first of population of interest),[-6.013763 -0.864517  0.832311]
