Attribute,Value
Number Critical Scenarios,425
Number Critical Scenarios (duplicate free),93
Number All Scenarios,1000
Number All Scenarios (duplicate free),217
Number Best Critical Scenarios,197
Number Best Critical Scenarios (duplicate free),29
Number Best Scenarios,508
Number Best Scenarios (duplicate free),60
Ratio Critical/All scenarios,0.42
Ratio Critical/All scenarios (duplicate free),0.43
Ratio Best Critical/Best Scenarios,0.39
Ratio Best Critical/Best Scenarios (duplicate free),0.48
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.827126  0.      ]
Input value of critical (first of population of interest),[ 1.251419 -6.913114  2.274333]
