algo (subject: RS),p_value,effect
NSGA-II,1.9073486328125e-06,0.0175
NSGA-II-DJ_A1.77,1.9073486328125e-06,0.0775
MOPSO,1.9073486328125e-06,0.0175
algo (subject: NSGA-II),p_value,effect
NSGA-II-DJ_A1.77,1.9073486328125e-06,0.8175
MOPSO,1.0,0.5
algo (subject: NSGA-II-DJ_A1.77),p_value,effect
MOPSO,3.814697265625e-06,0.175
