Attribute,Value
Number Critical Scenarios,34
Number Critical Scenarios (duplicate free),34
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.03
Ratio Critical/All scenarios (duplicate free),0.03
Ratio Best Critical/Best Scenarios,0.31
Ratio Best Critical/Best Scenarios (duplicate free),0.31
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999997  0.791976  0.      ]
Input value of critical (first of population of interest),[ 7.677616 -1.758678  6.861679]
