Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.356204,1.407875,4.798224,-0.985871,-1.200136
1,0.775481,1.832045,1.841512,-0.989274,-2.104186
2,0.356204,1.407875,4.798224,-0.985871,-1.200136
3,0.356204,1.407875,4.671377,-0.925378,-1.199521
4,0.775481,1.832045,1.841512,-0.989274,-2.104186
5,0.356204,1.407875,4.798224,-0.985871,-1.200136
6,0.356204,1.407875,4.792383,-0.985871,-1.200136
7,0.775481,1.832045,1.924694,-0.983490,-2.104186
8,0.391357,1.407875,4.413098,-0.985415,-1.285653
9,0.356204,1.406624,4.712336,-0.985470,-1.200136
10,0.355263,0.693963,0.494571,-0.735658,-1.957247
11,0.383926,1.054823,3.356529,-0.840050,-1.271122
12,0.356204,1.407875,4.671377,-0.925378,-1.199521
13,0.356204,1.407875,4.677219,-0.925378,-1.199521
14,0.552819,0.911997,1.640906,-0.978523,-2.535731
15,0.794549,0.956866,0.422752,-0.893268,-2.581065
16,0.775647,1.789174,1.844347,-0.990294,-2.104423
17,0.562677,0.869308,1.138889,-0.813034,-2.548547
18,0.775481,1.832045,1.841512,-0.989274,-2.104186
19,0.828163,1.791942,1.691389,-0.758438,-2.288562
20,0.356204,1.407875,4.798224,-0.985871,-1.200136
21,0.356204,1.407875,4.792383,-0.985871,-1.200136
22,0.775481,1.832045,1.924694,-0.983490,-2.104186
23,0.391357,1.407875,4.413098,-0.985415,-1.285653
24,0.766068,1.766305,1.864942,-0.985374,-2.092069
25,0.356204,1.445022,4.818126,-0.985665,-1.200136
26,0.355263,0.693963,0.494571,-0.735658,-1.957247
27,0.383926,1.054823,3.356529,-0.840050,-1.271122
28,0.391357,1.899916,4.522217,-0.756947,-1.295910
29,0.356204,1.406624,4.712336,-0.985470,-1.200136
30,0.356204,1.407875,4.671377,-0.925378,-1.199521
31,0.356204,1.407875,4.677219,-0.925378,-1.199521
32,0.353608,1.418316,4.700876,-0.887166,-1.191621
33,0.356181,1.423297,4.582498,-0.811145,-1.195306
34,0.552819,0.911997,1.640906,-0.978523,-2.535731
35,0.794549,0.956866,0.422752,-0.893268,-2.581065
36,0.788457,1.789174,1.844347,-0.996146,-2.135646
37,0.776261,0.959365,0.422752,-0.742154,-2.865046
38,0.793768,1.796384,1.749695,-0.983479,-2.154194
39,0.552819,0.917726,1.640906,-0.949460,-2.535731
40,0.562677,0.869308,1.138889,-0.813034,-2.548547
41,0.775647,1.792040,1.844347,-0.990472,-2.104423
42,0.389651,0.677019,1.707850,-0.991794,-1.278601
43,0.779960,1.791942,1.749695,-0.974299,-2.112898
44,0.828163,1.791942,1.691389,-0.758438,-2.288562
45,0.775647,1.789174,1.844347,-0.990294,-2.104423
46,0.775481,1.832371,1.841512,-0.989294,-2.104186
47,0.775481,1.832045,1.841512,-0.989274,-2.104186
48,0.775481,1.832045,1.924694,-0.983490,-2.104186
49,0.391357,1.407875,4.413098,-0.985415,-1.285653
50,0.766068,1.766305,1.864942,-0.985374,-2.092069
51,0.356304,1.400063,4.719197,-0.988588,-1.200428
52,0.766068,1.765979,1.864942,-0.985355,-2.092069
53,0.356204,1.400816,4.798224,-0.985931,-1.200136
54,0.356204,1.407875,4.798224,-0.985871,-1.200136
55,0.355263,0.693963,0.494571,-0.735658,-1.957247
56,0.552819,0.911997,1.640906,-0.978523,-2.535731
