Attribute,Value
Number Critical Scenarios,169
Number Critical Scenarios (duplicate free),169
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,15
Number Best Scenarios (duplicate free),15
Ratio Critical/All scenarios,0.17
Ratio Critical/All scenarios (duplicate free),0.17
Ratio Best Critical/Best Scenarios,0.87
Ratio Best Critical/Best Scenarios (duplicate free),0.87
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.805018  0.      ]
Input value of critical (first of population of interest),[ 0.148016 -7.702181  3.963905]
