Attribute,Value
Number Critical Scenarios,230
Number Critical Scenarios (duplicate free),84
Number All Scenarios,1000
Number All Scenarios (duplicate free),266
Number Best Critical Scenarios,108
Number Best Critical Scenarios (duplicate free),25
Number Best Scenarios,569
Number Best Scenarios (duplicate free),77
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.32
Ratio Best Critical/Best Scenarios,0.19
Ratio Best Critical/Best Scenarios (duplicate free),0.32
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999241  0.737054  0.      ]
Input value of critical (first of population of interest),[ 1.393935 -4.166449  1.906739]
