Attribute,Value
Number Critical Scenarios,327
Number Critical Scenarios (duplicate free),78
Number All Scenarios,1000
Number All Scenarios (duplicate free),213
Number Best Critical Scenarios,123
Number Best Critical Scenarios (duplicate free),25
Number Best Scenarios,604
Number Best Scenarios (duplicate free),64
Ratio Critical/All scenarios,0.33
Ratio Critical/All scenarios (duplicate free),0.37
Ratio Best Critical/Best Scenarios,0.20
Ratio Best Critical/Best Scenarios (duplicate free),0.39
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999992  0.778004  0.      ]
Input value of critical (first of population of interest),[ 4.87884  -7.909221  1.740347]
