Attribute,Value
Number Critical Scenarios,106
Number Critical Scenarios (duplicate free),106
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,7
Number Best Critical Scenarios (duplicate free),7
Number Best Scenarios,11
Number Best Scenarios (duplicate free),11
Ratio Critical/All scenarios,0.11
Ratio Critical/All scenarios (duplicate free),0.11
Ratio Best Critical/Best Scenarios,0.64
Ratio Best Critical/Best Scenarios (duplicate free),0.64
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.836969  0.      ]
Input value of critical (first of population of interest),[-2.710944  6.073384  6.449108]
