Attribute,Value
Number Critical Scenarios,106
Number Critical Scenarios (duplicate free),106
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.11
Ratio Critical/All scenarios (duplicate free),0.11
Ratio Best Critical/Best Scenarios,0.92
Ratio Best Critical/Best Scenarios (duplicate free),0.92
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.          0.80916608  0.        ]
Input value of critical (first of population of interest),[ 7.94349359 -1.16668952  6.73424977]
