Attribute,Value
Number Critical Scenarios,61
Number Critical Scenarios (duplicate free),61
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,11
Number Best Scenarios (duplicate free),11
Ratio Critical/All scenarios,0.06
Ratio Critical/All scenarios (duplicate free),0.06
Ratio Best Critical/Best Scenarios,0.91
Ratio Best Critical/Best Scenarios (duplicate free),0.91
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999255  0.81654529  0.        ]
Input value of critical (first of population of interest),[-5.22648161  5.00497759  2.79435226]
