Attribute,Value
Number Critical Scenarios,319
Number Critical Scenarios (duplicate free),81
Number All Scenarios,1000
Number All Scenarios (duplicate free),225
Number Best Critical Scenarios,118
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,497
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.32
Ratio Critical/All scenarios (duplicate free),0.36
Ratio Best Critical/Best Scenarios,0.24
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-1.        0.82653  -1.406519]
Input value of critical (first of population of interest),[-2.231013 -7.506328  1.798475]
