Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive,Critical
0,0.557293,1.291015,1.991776,-0.784704,-3.158453,-11.621701,1
1,0.287251,1.014159,4.958504,-0.997201,-0.999486,-10.693596,0
2,0.997767,1.730775,0.670168,-0.519588,-4.968211,-11.366357,0
3,0.978334,1.711131,0.704837,-0.528937,-4.873516,-11.621701,0
4,0.690321,0.880090,0.428204,-0.855716,-2.856634,-11.366357,1
5,0.439210,0.641668,0.341440,-0.994094,-2.461706,-9.696669,1
6,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875,1
7,0.649560,1.291015,1.956707,-0.967697,-1.933264,-11.621701,1
8,0.988545,1.711131,0.670168,-0.546021,-4.923140,-10.693596,0
9,0.557293,1.291015,1.938895,-0.594824,-3.168269,-10.515351,0
10,0.435453,0.641255,0.341452,-0.993634,-2.430980,-10.396373,1
11,0.558431,1.304210,1.991070,-0.670479,-3.167666,-10.693596,0
12,0.645297,1.291015,1.956707,-0.998059,-1.924355,-9.297845,1
13,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701,1
14,0.691439,0.880090,0.429718,-0.888261,-2.943676,-10.396373,1
15,0.658643,0.891442,0.670214,-0.873079,-2.920104,-10.515351,1
16,0.647310,0.868917,0.682186,-0.986652,-2.908759,-8.912881,1
17,0.435453,0.641898,0.333234,-0.994021,-2.430980,-10.091216,1
18,0.647295,0.868274,0.681734,-0.988446,-2.908758,-10.091216,1
19,0.635647,1.291467,1.989408,-0.998576,-1.895792,-10.091216,1
20,0.598212,1.378459,1.991748,-0.870331,-3.352514,-10.091216,1
21,0.294410,1.019069,4.996172,-0.999324,-1.026578,-10.091216,1
22,0.635647,0.856595,0.673584,-0.996743,-2.813768,-8.962887,1
23,0.615495,1.651501,2.477320,-0.999673,-1.862389,-9.702168,1
24,0.634290,1.291015,1.991776,-0.999211,-1.891076,-9.702168,1
25,0.663011,0.880090,0.673516,-0.986169,-2.923752,-9.702168,1
26,0.635647,0.856595,0.661432,-0.993616,-2.813768,-9.837015,1
27,0.598364,1.377727,1.991039,-0.878598,-3.352799,-9.837015,1
28,0.615495,1.662193,2.477320,-0.999334,-1.862389,-9.837015,1
29,0.997767,1.730688,0.670082,-0.520252,-4.968211,-9.837015,0
30,0.615495,1.258187,1.982558,-0.995785,-1.862389,-10.460633,1
31,0.662748,0.880256,0.673516,-0.979951,-2.923160,-10.460633,1
32,0.665673,0.885843,0.666251,-0.958186,-2.925336,-10.460633,1
33,0.597099,1.381124,1.991776,-0.826883,-3.349648,-10.460633,1
34,0.597482,1.378368,2.471433,-0.989359,-1.801077,-10.460633,1
35,0.665629,0.888174,0.656868,-0.934843,-2.925336,-8.351983,1
36,0.997767,1.732161,0.670168,-0.509064,-4.968211,-10.460633,0
37,0.615495,1.602574,2.477320,-0.997549,-1.862389,-9.837015,1
38,0.997767,1.730980,0.670168,-0.518029,-4.968211,-9.702168,0
39,0.596855,1.393496,1.991618,-0.711744,-3.348866,-10.460633,1
