Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.637490,1.251521,0.322443,-0.131189,-0.085932,0
1,0.318135,0.558194,4.108185,-0.000002,-1.073267,0
2,0.528779,0.785940,3.735203,-0.000000,-1.632943,0
3,0.379678,1.241925,0.984048,-0.013715,-1.289170,0
4,0.636735,1.886730,4.776307,-0.000000,-1.870664,0
5,0.821222,1.519119,2.203971,-0.000002,-2.235105,0
6,0.568061,1.485465,3.596862,-0.000025,-1.746744,0
7,0.741499,1.969296,0.836936,-0.244147,-2.078098,0
8,0.312192,1.814565,1.199928,-0.000160,-1.183457,0
9,0.948550,1.422813,0.572351,-0.181941,-0.128669,0
10,0.320312,0.965850,0.273187,-0.007182,-1.160959,0
11,0.640431,1.951604,1.487291,-0.214101,-0.207792,0
12,0.434940,0.522348,3.980593,-0.000000,-1.385548,0
13,0.325514,1.164304,4.663822,-0.986359,-1.116765,0
14,0.383479,1.805454,4.978909,-0.987543,-1.265493,0
15,0.573969,1.468624,1.714991,-0.147661,-0.108900,0
16,0.471484,0.908124,0.206792,-0.208881,-0.180553,0
17,0.525364,0.553261,1.412226,-0.000001,-1.637716,0
18,0.247965,1.845401,4.917963,-0.043612,-0.927586,0
19,0.974348,0.644379,3.962090,-0.000000,-2.819821,0
20,0.450757,1.599270,4.515509,-0.003307,-1.453192,0
21,0.791290,1.433562,3.423549,-0.000000,-2.159912,0
22,0.620921,0.847830,4.439603,-0.000000,-1.791177,0
23,0.977051,0.831997,1.544719,-0.000000,-2.772533,0
24,0.828750,0.641462,2.031595,-0.000000,-2.285963,0
25,0.618727,1.716842,1.113031,-0.237673,-1.863755,0
26,0.594024,0.641373,2.489488,-0.000000,-1.790207,0
27,0.292732,0.650086,0.193947,-0.471584,-0.159088,0
28,0.179612,0.618748,0.663191,-0.019566,-0.739912,0
29,0.727616,0.618520,2.170560,-0.000000,-2.053523,0
30,0.315739,1.986257,3.041960,-0.007457,-1.142742,0
31,0.710156,1.614863,3.764222,-0.000000,-2.051952,0
32,0.189497,1.970296,0.701631,-0.000002,-0.972330,0
33,0.478253,0.530890,2.142661,-0.000000,-1.510039,0
34,0.712917,1.673710,1.206697,-0.107111,-0.132191,0
35,0.688039,1.479046,3.984318,-0.000000,-1.993657,0
36,0.195956,1.907145,4.284411,-0.001492,-0.852679,0
37,0.728679,1.060971,1.237837,-0.415880,-2.054314,0
38,0.984862,0.606762,0.612813,-0.000000,-2.862860,0
39,0.569858,0.747676,1.389318,-0.040395,-1.752234,0
40,0.899489,1.534973,3.341666,-0.000000,-2.453424,0
41,0.135511,1.768738,4.737565,-0.000366,-0.674306,0
42,0.883876,0.876125,2.002831,-0.000000,-2.410559,0
43,0.552400,0.505486,1.743356,-0.000000,-1.691588,0
44,0.210891,1.702664,3.244092,-0.000718,-0.915844,0
45,0.669935,1.904425,1.892554,-0.140836,-0.036416,0
46,0.703080,1.444056,1.348946,-0.298335,-3.094551,0
47,0.171134,1.481619,0.079519,-0.000002,-0.929242,0
48,0.140234,0.530694,0.225377,-0.003534,-0.621035,0
49,0.469445,0.523660,4.559478,-0.000000,-1.443387,0
50,0.888594,1.543897,4.943440,-0.000000,-2.532332,0
51,0.360273,0.538784,0.729584,-0.993660,-1.213154,0
52,0.450343,0.824058,4.819442,-0.000000,-1.423941,0
53,0.520122,1.430136,4.399189,-0.000000,-1.618898,0
54,0.244063,1.541660,2.377384,-0.000835,-0.984034,0
55,0.982792,1.877883,1.620718,-0.000062,-2.843743,0
56,0.309221,1.952417,4.536632,-0.179205,-1.070251,0
57,0.268435,0.890002,1.702392,-0.074245,-0.980919,0
58,0.273913,1.012773,4.602889,-0.405938,-0.025863,0
59,0.667274,1.796783,4.726685,-0.000000,-1.892575,0
60,0.825049,0.644251,3.711423,-0.000000,-2.177900,0
61,0.806798,1.057267,4.126042,-0.000000,-2.112888,0
62,0.409507,1.040069,4.420504,-0.000089,-1.336010,0
63,0.993069,1.617032,3.429321,-0.000000,-2.623536,0
64,0.216306,1.432144,1.404700,-0.000080,-0.947858,0
65,0.119950,1.612550,0.032685,-0.000000,-0.856479,0
66,0.175504,1.072702,2.423766,-0.001092,-0.782398,0
67,0.772654,1.950083,3.013858,-0.000000,-2.103166,0
68,0.979542,1.113011,2.916884,-0.000000,-2.591804,0
