Attribute,Value
Number Critical Scenarios,280
Number Critical Scenarios (duplicate free),99
Number All Scenarios,1000
Number All Scenarios (duplicate free),305
Number Best Critical Scenarios,68
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,217
Number Best Scenarios (duplicate free),56
Ratio Critical/All scenarios,0.28
Ratio Critical/All scenarios (duplicate free),0.32
Ratio Best Critical/Best Scenarios,0.31
Ratio Best Critical/Best Scenarios (duplicate free),0.36
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.989002  0.788182]
Input value of critical (first of population of interest),[-7.069751  0.471312  4.422056]
