Attribute,Value
Number Critical Scenarios,13
Number Critical Scenarios (duplicate free),13
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,6
Number Best Critical Scenarios (duplicate free),6
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.01
Ratio Critical/All scenarios (duplicate free),0.01
Ratio Best Critical/Best Scenarios,0.46
Ratio Best Critical/Best Scenarios (duplicate free),0.46
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.970256 -2.435124]
Input value of critical (first of population of interest),[0.4506   0.69019  0.826681]
