Attribute,Value
Number Critical Scenarios,900
Number Critical Scenarios (duplicate free),277
Number All Scenarios,1000
Number All Scenarios (duplicate free),352
Number Best Critical Scenarios,264
Number Best Critical Scenarios (duplicate free),62
Number Best Scenarios,264
Number Best Scenarios (duplicate free),62
Ratio Critical/All scenarios,0.90
Ratio Critical/All scenarios (duplicate free),0.79
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.9958    0.805196]
Input value of critical (first of population of interest),[-4.752452  1.355036  2.641586]
