Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input
0,6.712497,2.572097,6.976388,-0.988609,0.815342,0.000000
1,-7.145307,-2.461500,19.644875,-0.919908,0.725313,0.000000
2,5.518690,-3.452042,1.618531,-0.970116,0.813826,0.000000
3,-3.565496,-3.738304,10.542141,-0.855381,0.798005,0.000000
4,5.065089,-0.289839,7.248967,-0.979357,0.816963,0.000000
5,-2.569720,-6.697387,20.529895,-0.838955,0.729589,0.000000
6,-6.883469,-5.752968,5.375422,-0.996646,0.855678,0.000000
7,-5.942369,5.401695,5.759026,-0.946416,0.843751,0.000000
8,7.013425,2.906133,7.054038,-0.984331,0.819078,0.000000
9,4.020795,2.941055,6.674141,-0.920347,0.791981,0.000000
10,-0.838920,6.997247,5.666515,-1.000000,0.822679,0.000000
11,-5.510481,6.652812,8.025499,-0.999995,0.837725,0.000000
12,1.921440,-6.112746,1.817590,-0.999990,0.809887,0.000000
13,-2.441568,7.989839,6.025239,-1.000000,0.824357,0.000000
14,-3.294611,5.165028,7.771534,-0.999735,0.816055,0.000000
15,2.350441,4.325402,7.558835,-0.749996,0.799469,0.000000
16,-7.193636,-7.590191,3.926696,-0.999929,0.855457,0.000000
17,7.826934,-4.667008,8.889151,-0.999999,0.845670,0.000000
18,-1.588988,-7.335498,2.277155,-0.830240,0.803408,0.000000
19,-5.365016,1.747538,3.255178,-0.999903,0.804932,0.000000
20,5.280624,-3.661208,2.243548,-0.990313,0.807893,0.000000
21,6.085029,-4.632991,4.104100,-0.995066,0.797469,0.000000
22,-0.814265,-7.642890,4.062106,-0.999532,0.854881,0.000000
23,-0.495192,-6.966746,3.970800,-0.997793,0.847123,0.000000
24,-7.518080,5.148550,8.216840,-0.991451,0.812925,0.000000
25,3.094063,-7.458267,7.962894,-0.987419,0.730136,0.000000
26,4.776042,2.549544,7.573453,-0.804961,0.774307,0.000000
27,4.969479,3.463297,9.050616,-0.980971,0.806985,0.000000
28,-7.829868,-6.525565,5.525845,-0.961168,0.814653,0.000000
29,-0.470015,6.392551,18.236454,-0.834888,0.785498,0.000000
30,7.577708,6.615800,7.290288,-0.918205,0.814686,0.000000
31,4.624548,3.411888,6.148806,-0.907942,0.773673,0.000000
32,-5.834342,1.379925,20.350106,-0.920434,0.697782,0.000000
33,2.285456,4.240710,5.760454,-0.832348,0.800880,0.000000
34,-7.393666,6.233921,5.304130,-0.999999,0.844415,0.000000
35,-6.985046,-7.119469,7.434885,-0.983299,0.809945,0.000000
36,-7.438942,6.007082,4.732779,-1.000000,0.845847,0.000000
37,-6.670529,-7.557246,4.632380,-0.999849,0.859575,0.000000
38,5.728199,5.072102,9.480263,-0.997220,0.793005,0.000000
39,-6.172363,-6.105715,8.489993,-0.991082,0.730663,0.000000
40,7.694075,1.910506,7.406482,-0.999882,0.818633,0.000000
41,5.972384,-6.083309,22.044235,-0.999959,0.759011,0.000000
42,-1.895828,7.370049,18.100157,-0.988104,0.765280,0.000000
43,-5.021099,3.086027,5.203022,-0.999940,0.824498,0.000000
44,-4.179000,5.634599,11.284735,-0.970606,0.750327,0.000000
45,-7.476238,1.758528,4.986393,-0.999999,0.839258,0.000000
46,-3.042449,6.126151,5.525430,-1.000000,0.835021,0.000000
47,5.631807,3.173662,7.653743,-0.982324,0.768998,0.000000
48,0.146344,7.296197,5.913321,-1.000000,0.821486,0.000000
49,-6.356367,7.387151,2.585719,-0.999999,0.821580,0.000000
50,-6.152051,-6.969077,7.387043,-0.911649,0.806441,0.000000
51,-7.327177,7.535261,0.568428,-0.998674,0.783545,0.000000
52,-4.729967,-7.313052,7.700847,-0.950792,0.720232,0.000000
53,-1.126619,7.263061,7.832883,-0.999992,0.837137,0.000000
54,1.456972,-7.104191,4.421373,-0.999998,0.840394,0.000000
55,7.366256,7.277043,7.244328,-0.843982,0.806536,0.000000
56,-3.810967,6.836812,8.257189,-0.999993,0.848105,0.000000
57,-7.864864,-5.670293,4.828847,-0.999723,0.860231,0.000000
58,6.131063,-7.671380,0.011713,-0.992515,0.782366,0.000000
59,-6.287024,3.396630,3.174705,-1.000000,0.813159,0.000000
60,5.806718,3.382509,9.058105,-0.999972,0.807887,0.000000
61,-6.771599,6.509286,22.899808,-0.999997,0.753995,0.000000
62,6.965354,3.756333,7.800000,-0.972520,0.784450,0.000000
63,-7.797240,-3.767058,5.006590,-0.997641,0.856699,0.000000
64,4.648060,-5.823861,8.500972,-0.949318,0.814024,0.000000
65,-7.017536,-2.192021,5.241749,-0.990913,0.848674,0.000000
66,2.788259,-5.075406,1.767984,-0.999947,0.802526,0.000000
67,6.190291,3.359631,6.881522,-0.902171,0.803045,0.000000
68,7.508176,-3.037407,9.913299,-0.996675,0.772465,0.000000
69,-4.222687,7.735915,17.607932,-0.847452,0.774510,0.000000
70,6.090870,-7.499497,0.120596,-0.988807,0.781093,0.000000
71,-6.380391,5.763915,6.202126,-0.989664,0.834988,0.000000
72,7.461650,3.187588,8.277960,-0.920877,0.754957,0.000000
73,5.227329,4.971165,8.121601,-0.958216,0.802265,0.000000
74,1.938981,-7.503000,21.920869,-0.987620,0.775925,0.000000
75,-7.074728,4.957899,22.778477,-0.999986,0.768805,0.000000
76,4.941492,-4.704403,8.996204,-0.990398,0.823109,0.000000
77,5.045563,-4.517060,21.642110,-0.923936,0.785877,0.000000
78,2.938424,7.831615,9.208341,-0.761468,0.762976,0.000000
79,-5.201761,5.016393,4.585005,-0.999934,0.820830,0.000000
80,6.400206,3.918028,9.031507,-0.999976,0.799267,0.000000
81,3.431818,7.734308,7.985933,-0.999993,0.831183,0.000000
82,4.356173,4.522879,9.436601,-0.908682,0.785524,0.000000
83,-6.903758,-6.787839,4.379435,-0.999582,0.853224,0.000000
84,6.419182,-4.676412,9.462287,-0.999989,0.835641,0.000000
85,7.789349,5.089884,9.351902,-0.999858,0.827298,0.000000
86,-6.782850,-3.381115,10.178542,-0.936573,0.799877,0.000000
87,4.964411,1.215550,8.715775,-0.999980,0.812794,0.000000
88,3.320731,5.088731,6.678869,-0.744850,0.778419,0.000000
89,7.478239,1.768950,8.949274,-0.999992,0.842907,0.000000
90,5.522388,-3.167017,10.281858,-0.804414,0.754960,0.000000
91,7.411878,7.904864,8.385555,-0.953885,0.815570,0.000000
92,-4.178530,6.919672,4.782709,-0.916777,0.800623,0.000000
93,4.574470,-7.387036,21.162473,-0.927348,0.688156,0.000000
94,2.960018,5.129822,7.861475,-0.998385,0.797557,0.000000
95,6.063385,5.925032,8.602436,-0.999481,0.800607,0.000000
96,-4.397984,6.321727,5.135770,-0.977964,0.792066,0.000000
97,-5.694480,5.611753,22.810218,-0.999806,0.758949,0.000000
98,3.356646,3.333652,7.422715,-0.826811,0.773190,0.000000
99,-4.662465,0.475472,3.420259,-0.813199,0.804686,0.000000
100,6.160337,6.655244,8.508184,-0.998635,0.804854,0.000000
101,-7.893550,7.311436,1.037949,-0.998292,0.793203,0.000000
102,-3.521147,7.402786,11.094497,-0.997927,0.765490,0.000000
103,5.205123,-7.784059,9.422465,-0.992634,0.809578,0.000000
104,-1.797112,6.378124,18.287376,-0.961092,0.780769,0.000000
105,1.324242,-6.721231,22.277668,-0.942546,0.782883,0.000000
106,-1.219191,-4.720636,11.192742,-0.847619,0.805432,0.000000
107,-5.029973,0.275226,2.652937,-0.896242,0.801876,0.000000
108,7.627350,-5.117871,21.168569,-0.999931,0.707279,0.000000
109,4.619458,6.765724,5.961865,-0.797818,0.807885,0.000000
110,7.309619,-7.123392,1.921440,-1.000000,0.830457,0.000000
111,-6.910490,3.691700,5.483214,-1.000000,0.848543,0.000000
112,-4.398385,-6.253449,4.025136,-0.703105,0.845056,0.000000
113,1.448638,-6.143195,21.249576,-0.948290,0.694471,0.000000
114,-0.216001,6.671315,6.375680,-1.000000,0.817615,0.000000
115,4.964327,-7.196134,8.318049,-0.991353,0.747130,0.000000
116,7.063716,-7.905534,21.563324,-0.999999,0.750287,0.000000
117,4.876904,-2.141881,9.047875,-0.999762,0.822529,0.000000
118,7.588151,4.094504,9.962599,-0.808048,0.711460,0.000000
119,6.854046,4.700355,9.282603,-0.999976,0.814525,0.000000
120,6.761528,-5.887077,21.142322,-0.992284,0.694118,0.000000
121,-6.818383,6.366298,20.343203,-0.980060,0.696327,0.000000
122,4.384890,5.003076,7.440211,-0.924411,0.778571,0.000000
123,-7.359115,6.493259,7.696515,-0.999967,0.834301,0.000000
124,-7.293609,7.567745,8.395860,-1.000000,0.843985,0.000000
125,-0.588548,7.591366,5.969005,-1.000000,0.834740,0.000000
