Attribute,Value
Number Critical Scenarios,89
Number Critical Scenarios (duplicate free),89
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,10
Number Best Scenarios (duplicate free),10
Ratio Critical/All scenarios,0.09
Ratio Critical/All scenarios (duplicate free),0.09
Ratio Best Critical/Best Scenarios,0.50
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999985  0.824153  0.      ]
Input value of critical (first of population of interest),[-3.982858  7.031257  4.437763]
