Attribute,Value
Number Critical Scenarios,72
Number Critical Scenarios (duplicate free),72
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,8
Number Best Scenarios (duplicate free),8
Ratio Critical/All scenarios,0.07
Ratio Critical/All scenarios (duplicate free),0.07
Ratio Best Critical/Best Scenarios,0.62
Ratio Best Critical/Best Scenarios (duplicate free),0.62
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.994141  0.781931  0.      ]
Input value of critical (first of population of interest),[ 0.48691  -6.914326  6.617785]
