Attribute,Value
Number Critical Scenarios,19
Number Critical Scenarios (duplicate free),19
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,18
Number Best Scenarios (duplicate free),18
Ratio Critical/All scenarios,0.02
Ratio Critical/All scenarios (duplicate free),0.02
Ratio Best Critical/Best Scenarios,0.28
Ratio Best Critical/Best Scenarios (duplicate free),0.28
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.996755  0.844426  0.      ]
Input value of critical (first of population of interest),[-7.629141  7.393709  6.11598 ]
