Attribute,Value
Number Critical Scenarios,465
Number Critical Scenarios (duplicate free),177
Number All Scenarios,1000
Number All Scenarios (duplicate free),352
Number Best Critical Scenarios,128
Number Best Critical Scenarios (duplicate free),27
Number Best Scenarios,304
Number Best Scenarios (duplicate free),60
Ratio Critical/All scenarios,0.47
Ratio Critical/All scenarios (duplicate free),0.50
Ratio Best Critical/Best Scenarios,0.42
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.990943  0.782985]
Input value of critical (first of population of interest),[ 2.908605 -5.700682  3.988402]
