Attribute,Value
Number Critical Scenarios,89
Number Critical Scenarios (duplicate free),89
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,6
Number Best Scenarios (duplicate free),6
Ratio Critical/All scenarios,0.09
Ratio Critical/All scenarios (duplicate free),0.09
Ratio Best Critical/Best Scenarios,0.67
Ratio Best Critical/Best Scenarios (duplicate free),0.67
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.996646  0.855678  0.      ]
Input value of critical (first of population of interest),[-6.883469 -5.752968  5.375422]
