Attribute,Value
Number Critical Scenarios,57
Number Critical Scenarios (duplicate free),57
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,11
Number Best Scenarios (duplicate free),11
Ratio Critical/All scenarios,0.06
Ratio Critical/All scenarios (duplicate free),0.06
Ratio Best Critical/Best Scenarios,0.36
Ratio Best Critical/Best Scenarios (duplicate free),0.36
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.842217  0.      ]
Input value of critical (first of population of interest),[ 3.260117 -7.210097  1.887266]
