Attribute,Value
Number Critical Scenarios,722
Number Critical Scenarios (duplicate free),133
Number All Scenarios,1000
Number All Scenarios (duplicate free),177
Number Best Critical Scenarios,479
Number Best Critical Scenarios (duplicate free),51
Number Best Scenarios,666
Number Best Scenarios (duplicate free),56
Ratio Critical/All scenarios,0.72
Ratio Critical/All scenarios (duplicate free),0.75
Ratio Best Critical/Best Scenarios,0.72
Ratio Best Critical/Best Scenarios (duplicate free),0.91
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999101  0.776179  0.      ]
Input value of critical (first of population of interest),[ 7.394357  0.892853 14.872028]
