Attribute,Value
Number Critical Scenarios,17
Number Critical Scenarios (duplicate free),17
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,11
Number Best Scenarios (duplicate free),11
Ratio Critical/All scenarios,0.01
Ratio Critical/All scenarios (duplicate free),0.01
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.991968 -2.081317]
Input value of critical (first of population of interest),[0.742557 1.847315 2.103027]
