Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.908687,1.377864,0.211640,-0.545890,-4.602901,0
1,0.456585,1.377399,3.634237,-0.996538,-1.471368,0
2,0.621073,1.130037,1.795755,-0.976542,-1.867042,0
3,0.370536,0.650244,0.972322,-0.771658,-2.261152,0
4,0.455294,1.377399,3.630703,-0.997959,-1.470379,0
5,0.794690,1.387239,1.437510,-0.799605,-2.158837,0
6,0.456585,1.377399,3.476250,-0.983594,-1.472459,0
7,0.337657,0.799748,3.536923,-0.999488,-1.152397,0
8,0.621068,1.130037,0.884997,-0.666265,-3.494509,0
9,0.340175,0.795496,1.902097,-0.852569,-1.819973,0
10,0.621073,1.087440,1.795755,-0.828610,-1.867042,0
11,0.370536,0.650244,1.837297,-0.997031,-1.245212,0
12,0.279024,0.778165,4.169703,-0.998303,-0.993210,0
13,0.588550,1.078592,0.893199,-0.637759,-3.421175,0
14,0.348036,0.937016,2.708412,-0.641330,-1.858755,0
15,0.381524,0.937016,3.536923,-0.811331,-1.262861,0
16,0.382486,0.949210,3.596308,-0.721385,-1.264573,0
17,0.576385,0.752133,0.883220,-0.653628,-1.768212,0
18,0.345645,0.842320,3.406942,-0.995717,-1.166041,0
19,0.346936,0.842320,3.410476,-0.995595,-1.170415,0
20,0.588822,1.086837,0.893199,-0.543805,-3.415060,0
21,0.804192,1.387408,1.437510,-0.624069,-2.196294,0
22,0.587359,1.086388,0.893199,-0.524753,-3.416509,0
23,0.348478,0.703162,3.036511,-0.723643,-1.173010,0
24,0.366473,0.842320,3.406942,-0.704154,-1.232054,0
25,0.335689,0.697134,3.060449,-0.951613,-1.143992,0
26,0.335689,0.705379,3.060449,-0.980505,-1.143958,0
27,0.588686,1.086837,0.893199,-0.542895,-3.414756,0
28,0.587359,1.086837,0.893199,-0.519306,-3.416509,0
29,0.348776,0.703162,3.036511,-0.701783,-1.174370,0
30,0.349170,0.703162,3.036511,-0.677239,-1.175771,0
31,0.289623,0.697134,3.060449,-0.738702,-1.025032,0
32,0.276351,0.770673,4.169703,-0.923494,-0.986729,0
33,0.278974,0.784768,4.169703,-0.908882,-0.986775,0
34,0.588550,1.086837,0.893199,-0.540746,-3.413898,0
35,0.280631,0.696927,3.337562,-0.858895,-0.984472,0
36,0.578399,1.086837,0.893199,-0.394047,-3.349902,0
37,0.621073,1.128001,0.949826,-0.509269,-1.128979,0
38,0.336685,0.795496,1.773416,-0.506732,-1.754357,0
39,0.588550,0.884374,0.893199,-0.476638,-2.625557,0
