Attribute,Value
Number Critical Scenarios,544
Number Critical Scenarios (duplicate free),59
Number All Scenarios,2000
Number All Scenarios (duplicate free),302
Number Best Critical Scenarios,278
Number Best Critical Scenarios (duplicate free),17
Number Best Scenarios,827
Number Best Scenarios (duplicate free),51
Ratio Critical/All scenarios,0.27
Ratio Critical/All scenarios (duplicate free),0.20
Ratio Best Critical/Best Scenarios,0.34
Ratio Best Critical/Best Scenarios (duplicate free),0.33
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.939798 -2.823587 -0.      ]
Input value of critical (first of population of interest),[0.648837 0.82708  0.301006]
